ticker,fiscal_year,risk_chars,risk_count,mdna_chars,redflag_total,redflag_categories,high_severity_redflags,group
BA,2017,36175,22,84779,0,0,0,failure
BA,2018,37478,21,89960,0,0,0,failure
BA,2019,44288,23,96481,0,0,0,failure
BA,2020,55828,24,123045,2,1,0,failure
BA,2021,59403,15,113721,1,1,0,failure
BA,2022,48377,19,98703,0,0,0,failure
BA,2023,48954,18,87412,0,0,0,failure
BA,2024,70864,29,90325,0,0,0,failure
BA,2025,70168,28,90381,0,0,0,failure
BBBY,2019,39523,21,108573,0,0,0,failure
BBBY,2020,53039,19,137837,4,2,0,failure
BBBY,2021,67078,32,160016,7,2,0,failure
BBBY,2022,88108,57,170430,7,2,0,failure
BBBY,2023,68278,49,157771,18,4,5,failure
BBY,2019,45739,19,85341,4,2,0,survivor
BBY,2020,51540,18,59661,4,2,0,survivor
BBY,2021,59761,21,59143,3,1,0,survivor
BBY,2022,64671,36,54613,3,1,0,survivor
BBY,2023,60114,28,53821,3,1,0,survivor
BBY,2024,60542,29,51723,4,2,0,survivor
BBY,2025,58404,19,52492,3,2,0,survivor
BBY,2026,59302,25,52158,2,1,0,survivor
GRMN,2022,104723,48,154912,2,1,2,survivor
GRMN,2023,99919,46,154414,2,1,2,survivor
GRMN,2024,103113,50,153251,2,1,2,survivor
GRMN,2025,108702,50,160082,2,1,2,survivor
JPM,2019,113548,65,399,4,3,1,survivor
JPM,2020,130395,77,395,4,3,1,survivor
JPM,2021,127974,76,415,4,3,1,survivor
JPM,2022,123984,78,395,4,3,1,survivor
JPM,2023,132062,78,395,4,3,1,survivor
JPM,2024,136238,82,395,3,2,0,survivor
JPM,2025,112610,71,395,4,3,1,survivor
LMT,2017,51900,16,172439,1,1,0,survivor
LMT,2018,56933,19,157053,1,1,0,survivor
LMT,2019,68307,23,142323,1,1,0,survivor
LMT,2020,100613,33,150067,1,1,0,survivor
LMT,2021,88595,19,135677,1,1,0,survivor
LMT,2022,82373,5,134163,1,1,0,survivor
LMT,2023,74615,17,107260,2,2,0,survivor
LMT,2024,75407,17,107763,1,1,0,survivor
LMT,2025,78715,18,94114,1,1,0,survivor
PTON,2022,225235,43,86050,20,6,3,failure
PTON,2023,219635,40,101472,19,6,3,failure
PTON,2024,196620,38,100865,19,6,3,failure
PTON,2025,203862,35,85298,17,6,3,failure
SI,2019,230729,113,161520,2,1,0,failure
SI,2020,184185,86,134284,2,2,1,failure
SI,2021,168382,78,110413,4,1,0,failure
SIVB,2020,112476,32,206446,2,2,1,failure
SIVB,2021,120087,16,184526,2,2,1,failure
SIVB,2022,123938,36,165681,2,2,1,failure
