cohort,label,fiscal_year,years_to_event,risk_chars_value,risk_chars_pct,neg_ratio_value,neg_ratio_pct,novelty_value,novelty_pct
BA,Boeing 737 MAX (Oct 2018),2015,-3,36375,0.6666666666666666,0.0377113133940182,0.6666666666666666,,
BA,Boeing 737 MAX (Oct 2018),2016,-2,36180,0.6666666666666666,0.03791557713858797,0.3333333333333333,0.0209,0.3333333333333333
BA,Boeing 737 MAX (Oct 2018),2017,-1,36175,0.5,0.03784489187173751,0.75,0.0198,0.6666666666666666
BA,Boeing 737 MAX (Oct 2018),2018,0,37478,0.5,0.03761699064074874,0.75,0.0324,0.25
SIVB,SVB collapse (Mar 2023),2019,-3,89236,0.5,0.042120875046347796,0.75,,0.0
SIVB,SVB collapse (Mar 2023),2020,-2,112476,0.5,0.044128030124735235,0.75,0.0511,0.75
SIVB,SVB collapse (Mar 2023),2021,-1,120087,0.5,0.04280906934407238,0.75,0.0305,0.75
SIVB,SVB collapse (Mar 2023),2022,0,123938,0.5,0.04375667022411953,0.75,0.0224,0.75
BBBY,Bed Bath & Beyond Ch.11 (Apr 2023),2019,-3,39523,0.75,0.02222605099931082,0.25,,
BBBY,Bed Bath & Beyond Ch.11 (Apr 2023),2020,-2,53039,1.0,0.02610899873257288,0.25,0.0809,0.75
BBBY,Bed Bath & Beyond Ch.11 (Apr 2023),2021,-1,67078,1.0,0.028246883795737837,0.25,0.5065,1.0
BBBY,Bed Bath & Beyond Ch.11 (Apr 2023),2022,0,88108,1.0,0.029529068875594415,0.25,0.1299,0.75
PTON,Peloton drawdown (FY2022),2020,-2,166229,1.0,0.0416421135336869,1.0,,0.0
PTON,Peloton drawdown (FY2022),2021,-1,201422,1.0,0.04280395013760725,1.0,0.028,0.3333333333333333
PTON,Peloton drawdown (FY2022),2022,0,225235,1.0,0.04267462409827042,1.0,0.0266,0.3333333333333333
SI,Silvergate wind-down (Mar 2023),2019,-2,230729,0.75,0.028694570593850336,0.5,,0.0
SI,Silvergate wind-down (Mar 2023),2020,-1,184185,0.75,0.029727677118368233,0.5,0.0433,0.75
SI,Silvergate wind-down (Mar 2023),2021,0,168382,0.75,0.02859074280260856,0.5,0.0258,0.5
