failure,label,fiscal_year,years_to_event,cohort_size,risk_chars_value,risk_chars_pct,neg_ratio_value,neg_ratio_pct,novelty_value,novelty_pct
SHLD,Sears Holdings Ch.11 (Oct 2018),2014,-3,6,30559,0.6666666666666666,0.039709649871904354,0.3333333333333333,0.1142,0.5
SHLD,Sears Holdings Ch.11 (Oct 2018),2015,-2,6,33203,0.6666666666666666,0.03871987356775978,0.3333333333333333,0.0739,0.5
SHLD,Sears Holdings Ch.11 (Oct 2018),2016,-1,6,39867,0.6666666666666666,0.037421694691724364,0.16666666666666666,0.1132,0.8333333333333334
SHLD,Sears Holdings Ch.11 (Oct 2018),2017,0,6,53915,0.8333333333333334,0.039725355566454144,0.16666666666666666,0.1647,1.0
JCP,J.C. Penney Ch.11 (May 2020),2016,-3,6,54227,0.8333333333333334,0.038050085096036954,0.16666666666666666,0.0673,0.6666666666666666
JCP,J.C. Penney Ch.11 (May 2020),2017,-2,6,55160,0.8333333333333334,0.03795202291442893,0.16666666666666666,0.0376,0.5
JCP,J.C. Penney Ch.11 (May 2020),2018,-1,6,57070,0.8333333333333334,0.03832390626803648,0.16666666666666666,0.0202,0.3333333333333333
JCP,J.C. Penney Ch.11 (May 2020),2019,0,6,57943,0.8333333333333334,0.03755975415433645,0.16666666666666666,0.0329,0.3333333333333333
PIR,Pier 1 Imports Ch.11 (Feb 2020),2016,-3,6,49610,0.8333333333333334,0.03101204485670774,0.16666666666666666,0.1282,0.8333333333333334
PIR,Pier 1 Imports Ch.11 (Feb 2020),2017,-2,6,57972,0.8333333333333334,0.032806092560046865,0.16666666666666666,0.0501,0.6666666666666666
PIR,Pier 1 Imports Ch.11 (Feb 2020),2018,-1,6,57875,0.8333333333333334,0.03785046728971963,0.16666666666666666,0.0616,0.3333333333333333
PIR,Pier 1 Imports Ch.11 (Feb 2020),2019,0,6,66012,0.8333333333333334,0.03523062824559617,0.16666666666666666,0.0559,0.6666666666666666
ASNA,Ascena Retail Ch.11 (Jul 2020),2016,-3,6,92395,1.0,0.03136937995885983,0.16666666666666666,0.0773,0.6666666666666666
ASNA,Ascena Retail Ch.11 (Jul 2020),2017,-2,6,92141,1.0,0.031987531542229476,0.16666666666666666,0.1028,1.0
ASNA,Ascena Retail Ch.11 (Jul 2020),2018,-1,6,101366,1.0,0.03237967014473241,0.16666666666666666,0.0957,0.5
ASNA,Ascena Retail Ch.11 (Jul 2020),2019,0,6,122901,1.0,0.033840575729275395,0.16666666666666666,0.0986,0.8333333333333334
BBBY,Bed Bath & Beyond Ch.11 (Apr 2023),2019,-3,6,39523,0.6666666666666666,0.02222605099931082,0.16666666666666666,,0.0
BBBY,Bed Bath & Beyond Ch.11 (Apr 2023),2020,-2,6,53039,0.6666666666666666,0.02610899873257288,0.16666666666666666,0.0809,0.5
BBBY,Bed Bath & Beyond Ch.11 (Apr 2023),2021,-1,6,67078,0.6666666666666666,0.028246883795737837,0.3333333333333333,0.5065,1.0
BBBY,Bed Bath & Beyond Ch.11 (Apr 2023),2022,0,6,88108,0.8333333333333334,0.029529068875594415,0.3333333333333333,0.1299,0.6666666666666666
