subject,cohort_of,sector,n_years,mean_rank,max_rank,first_rank,t0_rank,own_max_raw,cohort_max_raw,novelty_spike,declining_ud,chronic_ud,any_signal
LMT,BA,Aerospace/Defense,1,0.75,0.75,0.75,0.75,0.092,0.107,False,False,False,False
GD,BA,Aerospace/Defense,3,0.67,1.0,0.67,1.0,0.107,0.175,True,False,False,True
NOC,BA,Aerospace/Defense,3,0.83,1.0,1.0,0.5,0.176,0.175,True,False,False,True
KEY,SIVB,Mid-cap commercial bank,4,0.44,1.0,1.0,0.25,0.599,0.599,True,True,False,True
FITB,SIVB,Mid-cap commercial bank,4,0.54,0.67,0.67,0.5,0.031,0.599,False,False,False,False
HBAN,SIVB,Mid-cap commercial bank,4,0.83,1.0,0.33,1.0,0.061,0.599,False,False,False,False
LULU,PTON,D2C consumer subscription,3,0.72,1.0,0.5,0.67,0.084,0.084,False,False,False,False
ROK,PTON,D2C consumer subscription,3,0.89,1.0,1.0,1.0,0.071,0.084,False,False,False,False
WAL,SI,Small-cap regional bank,3,0.61,1.0,0.33,1.0,0.464,0.599,True,False,False,True
CUBI,SI,Small-cap regional bank,3,0.81,1.0,0.67,0.75,0.064,0.599,False,False,False,False
KEY,SI,Small-cap regional bank,3,0.5,1.0,1.0,0.25,0.599,0.599,True,True,False,True
ULCC,SAVE,ULCC airline,2,0.75,0.75,0.75,0.75,0.053,0.136,False,False,False,False
ALK,SAVE,ULCC airline,3,1.0,1.0,1.0,1.0,0.136,0.136,True,False,False,True
LUV,SAVE,ULCC airline,3,0.44,0.5,0.33,0.5,0.039,0.136,False,False,False,False
BBY,SHLD,Dept store retail,3,0.83,1.0,0.67,0.83,0.214,0.214,True,False,False,True
M,SHLD,Dept store retail,3,0.39,0.5,0.33,0.5,0.04,0.214,False,False,False,False
KSS,SHLD,Dept store retail,3,0.61,1.0,1.0,0.33,0.165,0.214,True,True,False,True
JWN,SHLD,Dept store retail,4,0.79,1.0,1.0,0.67,0.139,0.214,True,False,False,True
WSM,SHLD,Dept store retail,3,0.17,0.17,0.17,0.17,0.023,0.214,False,False,True,True
BBY,JCP,Dept store retail,4,0.83,1.0,1.0,0.83,0.214,0.474,True,False,False,True
M,JCP,Dept store retail,4,0.62,1.0,0.33,0.5,0.474,0.474,True,False,False,True
KSS,JCP,Dept store retail,4,0.54,0.67,0.5,0.67,0.096,0.474,False,False,False,False
JWN,JCP,Dept store retail,4,0.88,1.0,0.83,1.0,0.273,0.474,True,False,False,True
WSM,JCP,Dept store retail,4,0.17,0.17,0.17,0.17,0.018,0.474,False,False,True,True
BBY,PIR,Home goods specialty,4,0.83,1.0,1.0,0.83,0.214,0.474,True,False,False,True
M,PIR,Home goods specialty,4,0.54,1.0,0.33,0.33,0.474,0.474,True,False,False,True
KSS,PIR,Home goods specialty,4,0.5,0.67,0.5,0.5,0.096,0.474,False,False,False,False
