subject,cohort_of,sector,is_failure_strict,is_failure_extended,distress_score,signals_fired,novelty_spike,declining_ud,chronic_ud,max_rank,mean_rank,t0_rank,own_max_raw,event_fy,reference_date,data_found,fwd_12m_excess,fwd_24m_excess,fwd_36m_excess,ref_price,ref_date,fwd_12m_return,fwd_12m_status,fwd_24m_return,fwd_24m_status,fwd_36m_return,fwd_36m_status,reason
WE,WE,Commercial real estate,1,1,70,2,1,1,0,1.0,0.62,0.25,0.715,2022,2023-04-01,False,,,,,,,,,,,,
FSR,FSR,EV / cleantech,1,1,70,2,1,1,0,1.0,0.78,0.33,0.631,2022,2023-04-01,False,,,,,,,,,,,,
CHK,CHK,Energy E&P,1,1,70,2,1,1,0,1.0,0.62,0.25,0.177,2019,2020-04-01,False,,,,,,,,,,,,
KEY,SIVB,Mid-cap commercial bank,0,0,70,2,1,1,0,1.0,0.44,0.25,0.599,2022,2023-04-01,True,0.05556236304772472,0.05973768304101573,0.26767054008204516,10.485373497009277,2023-04-03,0.3445791344583773,ok,0.458237237886471,ok,0.9121874144759239,ok,
KEY,SI,Small-cap regional bank,0,0,70,2,1,1,0,1.0,0.5,0.25,0.599,2021,2022-04-01,True,-0.3267788381620039,-0.3881119036294012,-0.42140038655113254,17.595022201538086,2022-04-01,-0.40407159610786464,ok,-0.1987270482941799,ok,-0.1309950103302392,ok,
KSS,SHLD,Dept store retail,0,1,70,2,1,1,0,1.0,0.61,0.33,0.165,2017,2018-04-01,True,0.028038720340943735,-0.7810527264718046,-0.5591577195515138,41.058841705322266,2018-04-02,0.159724746869672,ok,-0.7396918741404263,ok,0.06777215487884836,ok,
SHLD,SHLD,Dept store retail,1,1,40,1,1,0,0,1.0,0.71,1.0,0.165,2017,2018-04-01,False,,,,,,,,,,,,
ASNA,ASNA,Specialty retail,1,1,40,1,1,0,0,1.0,0.75,0.83,0.103,2019,2020-04-01,False,,,,,,,,,,,,
BBBY,BBBY,Specialty retail,1,1,40,1,1,0,0,1.0,0.72,0.67,0.506,2022,2023-04-01,True,0.4577300917262926,-1.1082092483580068,-1.4122846435233545,19.979999542236328,2023-04-03,0.7467468631369452,ok,-0.7097096935125515,ok,-0.7677677691294758,ok,
YELL,YELL,LTL trucking,1,1,40,1,1,0,0,1.0,0.88,0.5,0.18,2022,2023-04-01,True,1.8359832285893474,-1.198499551865223,-1.644416874396405,2.0,2023-04-03,2.125,ok,-0.7999999970197678,ok,-0.9999000000025262,ok,
